Date,Race_Date,Startlist,Sex,City,Country,Distance,RaceType,Period,Elevation,Championship
11/29/2025,11/29/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SMRL,M,Östersund,Sweden,N/A,Relay,1,366,0
11/29/2025,11/29/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SWRL,L,Östersund,Sweden,N/A,Relay,1,366,0
11/30/2025,11/30/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01MXSR,Mixed,Östersund,Sweden,N/A,Single Mixed Relay,1,366,0
11/30/2025,11/30/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01MXRL,Mixed,Östersund,Sweden,N/A,Mixed Relay,1,366,0
12/02/2025,12/02/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SWIN,L,Östersund,Sweden,15,Individual,1,366,0
12/02/2025,12/03/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SMIN,M,Östersund,Sweden,20,Individual,1,366,0
12/02/2025,12/05/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SWSP,L,Östersund,Sweden,7.5,Sprint,1,366,0
12/02/2025,12/06/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SMSP,M,Östersund,Sweden,10,Sprint,1,366,0
12/02/2025,12/07/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SMPU,M,Östersund,Sweden,12.5,Pursuit,1,366,0
12/02/2025,12/07/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP01SWPU,L,Östersund,Sweden,10,Pursuit,1,366,0
12/12/2025,12/12/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SMSP,M,Hochfilzen,Austria,10,Sprint,1,1012,0
12/12/2025,12/12/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SWSP,L,Hochfilzen,Austria,7.5,Sprint,1,1012,0
12/12/2025,12/13/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SMPU,M,Hochfilzen,Austria,12.5,Pursuit,1,1012,0
12/13/2025,12/13/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SWRL,L,Hochfilzen,Austria,N/A,Relay,1,1012,0
12/14/2025,12/14/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SMRL,M,Hochfilzen,Austria,N/A,Relay,2,1012,0
12/12/2025,12/14/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP02SWPU,L,Hochfilzen,Austria,10,Pursuit,2,1012,0
12/18/2025,12/18/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SWSP,L,Annecy-G.Bornand,France,7.5,Sprint,2,919,0
12/18/2025,12/19/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SMSP,M,Annecy-G.Bornand,France,10,Sprint,2,919,0
12/18/2025,12/20/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SMPU,M,Annecy-G.Bornand,France,12.5,Pursuit,2,919,0
12/18/2025,12/20/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SWPU,L,Annecy-G.Bornand,France,10,Pursuit,2,919,0
12/18/2025,12/21/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SMMS,M,Annecy-G.Bornand,France,15,Mass Start,2,919,0
12/18/2025,12/21/2025,https://www.biathlonworld.com/startlist/BT2526SWRLCP03SWMS,L,Annecy-G.Bornand,France,12.5,Mass Start,2,919,0
01/08/2026,01/08/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SMSP,M,Oberhof,Germany,10,Sprint,2,823,0
01/08/2026,01/09/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SWSP,L,Oberhof,Germany,7.5,Sprint,2,823,0
01/08/2026,01/10/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SMPU,M,Oberhof,Germany,12.5,Pursuit,2,823,0
01/10/2026,01/10/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SWRL,L,Oberhof,Germany,N/A,Relay,2,823,0
01/11/2026,01/11/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SMRL,M,Oberhof,Germany,N/A,Relay,3,823,0
01/08/2026,01/11/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP04SWPU,L,Oberhof,Germany,10,Pursuit,3,823,0
01/14/2026,01/14/2026,https://www.biathlonworld.com/startlist/BT2526SWRLCP05SWRL,L,Ruhpolding,Germany,N/A,Relay,3,710,0
